"","Sample_1","Sample_5","Sample_6","Sample_8","Sample_9","Sample_10","Sample_11","Sample_17","Sample_13","Sample_20","Sample_23","Sample_2","Sample_3","Sample_4","Sample_7","Sample_12","Sample_14","Sample_15","Sample_16","Sample_18","Sample_19","Sample_21","Sample_22","Sample_24","Sample_25","Sample_26","Sample_27","Sample_28"
"O43175",47880,91319,78649,59269,59389,22427,108710,120990,89018,83403,81189,123320,28149,58286,171600,59132,180470,93600,60910,13786,92252,60637,174610,100170,169310,107400,57220,163290
"O43181",61899,61639,60323,46599.9462697025,39828,53134,30349,68359,43322.6924437624,36016,33505,27386,66984,130440,61005,44515,57383.2367229375,30363,65792,21732,87829,75132,180280,45616,44754.2985263081,48637.7895488542,43332,53987.8332612952
"O43237",134920,137860,153980,164470,150870,165720,212900,132940,207530,149340,185090,147160,148830,144420,179130,188550,123480,150590,163780,151140,214530,163050,133820,178520,177490,154480,112380,145330
"O43242",80219,82080,77563,106720,90474,66019,90669,117400,97733,76689,81014,102300,98492,88733,101410,91087,133130,82557,104000,204710,76735,88116,93731,60608,117020,96802,112130,112110
"O43252",41128,44225,35047,85591,82287,43686,76217,60043,53673.7650941726,26692,57103,99304,51612,101050,66070,46370,163760,42465,95108,86178,49122,64385,89266,33553.7149803918,27926,55269,75717,86221
"O43290",124880,125030,117050,149020,197840,169940,107210,144390,157660,119940,121390,161450,164320,126790,130230,174990,218460,140910,164400,150500,108310,178670,157140,91822.8472134256,181850,190550,253560,187660
"O43294",207430,341470,303080,209670,170150,168870,199790,118990,321650,556580,230100,124300,96079,200450,177890,152110,7744.4,382920,135720,55593,305480,516910,108370,426730,160200,229640,103800,263130
"O43301",106850,105850,132180,20658,37493,70111,49696,43372,114280,103260,60571,75667,51649,72861,25390,37322,52545,33780,24116,51238.3633678214,43055,100910,24380,81492,99926,28102,23295,49807
"O43324",45994,47013,49614,89617,88788,64713,44299,86280,59055,54417,73765,97881,75267,82070,95728,38866,110000,74859,121960,125490,103160,54728,103460,109490,102150,50653,95879,94866
"O43390",480170,558420,582870,593680,730610,567150,530970,728890,551730,537950,488680,732590,756030,499030,549610,568360,1275000,621480,556430,529430,511270,564910,531010,315200,572900,560200,642560,588920
"O43395",448110,325380,266990,577150,424890,429370,387760,372250,137630,307090,310990,416790,989860,608010,421590,338300,612050,434520,601460,613060,415384.680991636,386770,538460,301838.836599166,645120,723130,652200,584780
"O43396",95122,96182,82974,87842,117790,63273,100260,86040,113160,93048,98493,70839,65580,100300,118110,107550,85553,87847,86272,306170,90964,93186,127210,100160,169670,124800,72377,120950
"O43399",225840,317830,410080,314070,387640,362860,355750,321740,368560,332340,367770,338640,324330,277020,304990,370640,326280,427340,424810,512970,332260,445190,319560,306730,423930,364160,358540,360960
"O43447",59111.6934824579,49093,70938,95083,65264,61863,73905,59158,116750,73199,74730,98261,57065,63789,74771,63233,100960,58899,45246,70478.9951791638,68198.0276667284,87983,65564,47123.65469166,94425,69313,149360,53833
"O43464",37975,37045,57117,32281,61464,55851,46195.7133412942,46670,56498,49477,29460,33208,39809,47776,40445,34114,42426,40040,63872,70475,50000.3654366078,57710,60384,41083,59896,49433,35907,36749
"O43488",239270,329270,297170,175740,244160,458900,281060,258770,237130,263000,233430,194310,318620,308490,321590,268180,242420,358260,278650,224540,289900,220940,325420,316230,212850,186070,184630,198480
"O43491",289470,241550,226950,96909,174020,203770,180700,117700,198730,226000,134260,131230,152450,205310,152020,120000,33094,141380,88257,92597,151510,168620,140390,152010,167280,112200,126880,166960
"O43504",38629.3270912031,60062,55592,16013,44249.1259866029,40886.4146023804,22286,44058,43108.5209240193,44209,32489,41121.9763740845,37865,54647,30091,36113.2784118736,26717,41140,43495,29835,35025,36592.7760034689,60544,31361.0456916335,15787,29563,54124,43721.8479173345
"O43516",65760.443976735,47242,77683,32725,74500,56620,58001,33067,118110,74848,73884,47299,49353.6561086693,74200,60579,91816,59143.9491248915,49234.4349872477,48615.9925592869,49867.1746065541,54147.1390654768,49114,33086,43971.1163345434,83213,47679,48804,79153
"O43583",46318,56200,52853,49959,58167,56779,50644,64382,59111,48567,55515,63622,50205,44720,63597,52441,65513,49269,63570,49196,55892,52935.5325838739,60306,56355,73565,56192,48234,58243
"O43592",35711.2797112792,20255,28097,35915,37849,18017,39506,42892,32907,20860,26905,122120,41196,28755,30305,46922,151380,31660,38156,25271,34304,26578,33679,19600.4628462811,44544,35566,91070,44145
"O43598",90896,173900,144320,126790,79182,108220,74037,162640,108900,103480,78506,76159,155000,137170,185240,91831,91738,115370,105840,63599,130710,100290,99116,95835,76408,92399,103900,69159
"O43615",18636,52133,49981,37450,67614,93103,38795,68691,53610,40309,27278,62690,94989,31528,61475,28686,85619,40965,59818,57478,42883,29311,77981,51336,81251,59883,101770,62003
"O43633",104380,113100,111810,78952,120590,96040,71139,63242,81860,84941,68597,66106,85377,61790,85451,96075,54923,92156,76977,78698.328576523,121500,81782.1742987161,77843,89347,82969.4080945714,112540,69769,76244
"O43670",60693,70502,71631,136510,94851,103230,75096,112310,73049.9035607167,70662,57494,89841,83315,78994,83610,111030,90742,83651,104190,74169,102340,67197,63536,49824,96293,82947,109420,87388.6679213884
"O43676",56870,62329,68910,35463,60017,68766.0737139695,47543,62321,69132,56858,40563,58232,86429,83506,82468,45364,61435,46156,52644,78797,69480.4235182347,69218,147380,57400.9843678211,58513,60746,40431,57950.650457858
"O43678",129620,134600,137000,81101,132810,107370,85809,109070,141190,94641,98279,84486,124270,163650,146530,111440,68188,84349,99813,71805,134560,109320,245590,163970,91224,108520,90954,73751
"O43681",206670,253950,219850,184980,230680,207900,220510,194200,250840,238680,246220,195520,191420,202600,183300,182030,218080,203580,180880,163280,213290,237860,222360,221890,178820,164180,180020,207950
"O43684",114990,118080,126730,192780,181250,130160,108670,151500,100200,112300,105480,144860,155990,104930,121290,139610,196410,113860,162450,131040,135050,104310,124320,72831,189770,153370,162320,128740
"O43707",3026900,2358800,2928900,3269800,2373700,2242900,2375100,1978700,2539000,3297600,2895700,2190400,2343000,2887200,2558900,1852200,7251700,2964300,2459600,1482900,2965100,3010700,2136900,3164500,1863800,3062100,3760600,3015200
"O43719",35132,69900,43227,60213,65459,48250.3790523654,50942.1876947552,62678,58820,55020.75736563,52348.4749757492,58462.5586477261,51190.0085717657,34986,36508,62392.7728797111,29130,57745,50758,39306,33813,79902,44291,35801.3091353269,60860,49773,112240,52007
"O43747",105130,95092,88450,113330,102640,143040,86145,116000,115520,83647,85796,111710,147420,157880,126300,101750,118180,143780,180870,211990,101870,91751,200080,42806,122450,117250,121230,105870
"O43760",126300,146928.442285363,137430.081252081,66169,369300,151970,110010,164730,77249,63152,121533.863273212,63701,238610,211640,216950,132230,182320,178260,252140,215890,179100,170900,185620,65818,165720,210110,166370,186920
"O43765",17678,23851.8941825183,24350.9282276792,41638,37494.59404579,18478,29307,32561,25748,19342,20782,40529,29590,13146,37290,31854,49830,22100,28594,35201,23638,21143,27836.3091368196,19163.0263440181,52666,28508,37825,33092.3426576055
"O43768",52503,73617,73489,59569,57798,39775,65397,92485,79500,66455,67659,74430,37347,67938,84931,61512,51818,61474,60230,39241,67619,66142,65444,57883,160450,65875,60528,81645
"O43772",28814,30528.3907114296,28172.842605999,26512.4259853929,39083.017193964,20420,28826.1743943053,37269,49802,23897,18015,9758.3,58201,43168,34529,34969.51273652,33954.1683493128,20121,21741,33051.0053646934,17217,29913.0067935188,66789,20884.2535653065,19476,30944,23291,47727
"O43776",155420,129730,137060,166630,189540,156390,185000,224970,156330,148160,155290,157280,153690,163120,203910,179220,232780,163140,188340,436190,153850,161410,214630,159670,368420,192500,140690,185980
"O43795",66596,49267,25398,58119,119520,68834,74715,55294,62056,33698,78282,71745,54284,52401,49683,84262,107000,51986,61476,218840,33286,91269,38567,63451,121380,46514,129700,74960
"O43809",93935,103180,115140,125580,132570,131020,91406,111800,112230,90605,86084,126630,120920,108020,115300,118070,166190,122100,124460,102790,111270,100830,100620,63117,128470,122790,147970,118550
"O43813",122950,108140,112860,92960,116750,145450,114920,91383,155900,114560,109740,112820,110620,115160,121630,98479,125480,116630,89940,105690,133560,122870,123970,151770,141830,106480,114680,137330
"O43818",11970,11942,23356.1973120357,27415,17672,8981.6,16206,58671,22890.2513741552,20014.8298852756,15397.064736513,55564,28544,20788.4272608588,22921.3648357507,11393,107520,33070.5872587052,10464,60774,14305,12318,17355,19189.9285163474,18825,9580.4,76923,30358.5665811597
"O43837",65538,60302,61241,84066,61323,198010,72123,81593,66889.8582856467,56862,48240,98674,180560,79886,100930,69004,75228,98567,134900,88454,77860,76980,105000,54825,42928,44851,80842,83083.1896300327
"O43852",135960,175790,172600,153150,177870,145580,229450,180220,316530,181060,185740,250760,189430,179640,207270,259900,179920,213350,184140,295860,223870,240900,201860,176670,231220,156970,217850,300290
"O43865",104470,120360,116090,19517,129230,87270,103010,137350,95110,136000,66550,60258,64597,129800,135040,73262,49585,92766,107780,125340,126050,67239,260000,82439,81141,65189,50952,72013
"O43866",115440,41586,48932,45318,45753.4760140765,50042.439170322,161660,42809,65705,48945.5061544468,36060,19461,47738,32517,49065.2349955304,114940,56459.6380808366,20481,40847,69926,54659.8781806337,29319,43442,48663.6126576924,56336.0014403803,38480.2737032148,31547,47922.6930327878
"O43920",47303,42580,55155,28425,61891,39559,54812,76511,41677,70243,44727,31271,73488,63145,70507,53826,35849,46800,46742,34868,61963,61917,132340,61035,40135,48873,35885,39821
"O60216",42315,43453,62905,53638,71556,65255,53061,46125,48835,43267,37681,53834,65491,50036,46315,55024,65511,62405,55778,49772,48475,43069,53054,35293.6868427897,88217,48472,92719,46785
"O60218",122900,1356600,293520,18515,310340,125960,30826,5821000,79326,449950,510140,11507,20207,807680,315170,72850,21380,540350,2416300,478630,292350,37336,656410,411200,39770,37413,27123,525270
"O60220",173370,116770,133140,172257.635593843,193910,220260,117300,170330,154800,145910,91352,118470,368190,130050,128820,122220,292610,122920,149820,249430,124500,172630,236660,107330,194410,140850,194350,125420
"O60234",58955,100770,109510,74883,127110,94221,79359,77564,67243,140600,141630,74179,96125.0966178288,138880,105380,153220,138390,55316,95977.2348633192,135577.077741687,83352,70781,118650,71203.314949544,123500,80458,87321,165000
"O60237",134440,104410,98297,90174,49435,89878,32681,53558,162970,117590,104110,38043.0784292638,32843.1109085597,47389,108740,68060,38867.4383760954,76641,17254,29356.8216443342,150860,39363,30276,291040,60185.5036091808,48335,36618.5113616056,97603
"O60240",206648.686455963,76686,30331,165413.639915676,24155,27547,186480,34919,619200,65702,548420,154460,621500,6423.6,33592,23150,133373.661697745,35637,7885.7,101724.718197609,54700,218370,18583,866120,24953,40591,107060,108800
"O60256",32452,41386,35843,33685,50990,19107,27476,34400,46085,41365,40393,50756,38906,42170,39330,21408,53012,33778,23645,26822,22795,31999,38209,31219,60134,32030,44836,62068
"O60264",79897,37867,64390,74799,103450,36168,42801,60588,78109,64961,53731.4440813678,69607,98112,50836,60152,64798,171430,69526,65999,90457,57191,58107,67145,68819,93037,83212,169080,100300
"O60271",29680,45076,37748,33450,29348,21369,17934,48033,28488,32073,24119,31532,39067,26122,23176,40135,20629,27216,34004,35487.488441911,14984,37210,25256,19038.9541947377,31280,38436,54966,33907
"O60313",68612,61252,44271,39009,42868,83540,25968,58008,56328,72071,29971,40568,65269,61168,40549,36117,40672,81498,85900,58002,54180,41947,70220,41524,40690,39290,45763,26176
"O60341",19140,11245,13791,39949,11650,22275.5536968257,20039,31763,22548.7761804892,15127,16334.4197679058,43983,44447,11433,14580,11710,101780,33505,24941,22831,20041.9299424633,22435.7794344121,18978,18184.8782400489,13226,24592,48455,25825.4862981272
"O60437",49525,722200,28698,546110,48965,1582200,227421.412281451,32767,300791.565630555,53999,29792,162260,171760,365200,77320,40028,205380,863760,918830,712930,38594,278640,192510,275321.873806572,73474,2749700,328630,25488
"O60443",22084.3866492026,10488,21120,4687,22575.4914075427,24102,15151,24063.3494958432,25596.1249671118,19150,19758.8070472797,37483,20947.1022406091,23260.5928724444,23707.6447893934,19737,27661,46679,21775,39390.3181674019,21804.8941855795,20526,19264,19931.1723531775,29897,32314,16625,56056
"O60493",165660,157470,187450,110530,144190,123630,196450,147310,239760,161830,186280,126720,140750,118670,155260,228480,99488,153420,111490,131990,163930,155340,143950,156340,148580,129990,127760,212540
"O60502",27415.1309740445,23573,34493,41794,35108,27449,27336.2141568656,31383,42504,29438,21905,57939,24264,28480,33539,29217.8144900659,64673,31150,37542.5922096313,25337,30800,29178.5365612346,32079.3872388386,21422.6678948241,41611,39930,37802,33881
"O60504",60237,65958,101250,37551,47622,51022,77161,32237,66084,84528,79571,64154,40602,71843,36386,45219,16862,75272,47962,33473.6518188314,51847,89188,36201,71018,46757,34515,32162,64554
"O60506",333250,296330,368600,518660,289080,284410,304480,523950,446930,377350,335540,537560,398000,317750,372540,398690,585340,430170,369290,387530,340960,358310,355800,261230,513770,440060,634910,435480
"O60547",402710,330710,289350,45035,547000,181840,127330,176800,189330,65362,185640,192510,284910,492410,382320,286170,124110,254420,169880,134000,345170,41288,395240,412960,248890,73083,190690,192721.166576916
"O60565",124953.235511579,90910.953596754,246500,58268,178070,86394,102150,57940.1133903068,127176.252614412,119800,133380,55721,81769.6101935463,65340,68015.3652640012,40145,56191.2875611996,118180,58753,66225.3719530211,80008,169670,20788,98576.1258852922,33631,65071.9707808582,62450,86082.4250853928
"O60568",46399,60493,46697,70723,93412,103070,104740,65212,110020,67701,71406,122910,111820,66242,86971,117630,97961,114170,89304,211160,76160,83906,133530,38666,85430,52215,226630,82526
"O60610",16114,52237,28371,24758,47098,31284,16630,128710,20043,28792,18026,38622,50801,52237,41616,35218,52079,34418,55100,106120,54207,36268,71023,32455,58648,58769,24902,61347
"O60645",27662,19771,16788,20981,24189,20724,23909,22712,28150,20572,22431,18688,31142,29893,17905,21739,22257,27966,23420,25369,18137,22868,27723,15609.279120192,19783,23646,29363,23628
"O60664",190320,171490,170890,212470,151830,144030,260760,251640,216150,181490,247940,219430,197010,185500,230850,243620,132510,187590,158030,67935,182220,202900,154480,161890,264300,201520,229250,182340
"O60684",87391,86412,81376,80854,87095,72911.0725246388,57839,64255,92590,88217,75018.2035879468,87509,56304,69303,74290.5124774706,72886,130540,75417,97647,71736,70602.025735226,77098.2506104982,82574,60419.3428419058,61544,87808,49057,108280
"O60701",121890,180410,212700,153820,217760,102610,196360,364640,158650,123030,205810,185150,204030,231920,299320,228390,258490,293290,666210,599670,116930,142840,160460,133140,671630,167340,328080,317240
"O60716",163250,218380,171470,188790,253380,323850,181420,232160,98961,141130,161800,208510,359360,302020,212070,120310,382420,241550,292730,304250,205930,175070,338390,135040,181400,291600,230950,166730
"O60749",167700,157930,183220,121500,148460,142570,189750,151370,215060,167560,188750,161600,138920,156800,133780,181500,97781,136320,161750,92214,125890,146030,171330,139660,177010,144740,146650,197800
"O60762",54381,60138,69877,50401,118870,62976,76706,59635,68375,51196,69973,91277,86268,60855,73723,76619,103460,72004,61365,90435,53676,74746,88518,52594,80701,62375,73130,86033
